percentage,amount,time
2.37,1969.00,1582614470605
2.41,1969.90,1582614472606
2.37,1969.00,1582614474606
2.35,1968.75,1582614476570
2.34,1968.60,1582614478563
2.40,1969.60,1582614480606
2.37,1969.00,1582614482568
2.37,1969.00,1582614484606
2.37,1969.00,1582614486604
2.43,1970.15,1582614488562
2.34,1968.55,1582614490605
2.51,1971.70,1582614492605
2.42,1970.05,1582614494606
2.40,1969.70,1582614496567
2.40,1969.60,1582614498605
2.39,1969.55,1582614500606
2.39,1969.50,1582614502601
2.37,1969.10,1582614504604
2.42,1970.00,1582614506605
2.37,1969.00,1582614508605
2.37,1969.00,1582614510603
2.41,1969.80,1582614512604
2.41,1969.90,1582614514606
2.39,1969.50,1582614516604
2.42,1970.05,1582614518603
2.38,1969.20,1582614520604
2.42,1970.00,1582614522607
2.46,1970.75,1582614524605
2.51,1971.70,1582614526575
2.48,1971.25,1582614528600
2.51,1971.75,1582614530609
2.54,1972.40,1582614532604
2.53,1972.15,1582614534604
2.50,1971.55,1582614536601
2.50,1971.55,1582614538565
2.47,1971.00,1582614540603
2.47,1971.00,1582614542587
2.52,1971.95,1582614544599
2.52,1972.00,1582614546599
2.52,1972.00,1582614548562
2.52,1971.90,1582614550577
2.52,1971.95,1582614552602
2.52,1972.00,1582614554603
2.52,1972.00,1582614556585
2.52,1972.00,1582614558602
2.52,1971.95,1582614560603
2.52,1972.00,1582614562603
2.50,1971.50,1582614564601
2.52,1972.00,1582614566590
2.52,1972.00,1582614568578
2.52,1971.95,1582614570604
2.52,1972.00,1582614572601
2.54,1972.40,1582614574564
2.54,1972.40,1582614576576
2.54,1972.40,1582614578560
2.54,1972.40,1582614580597
2.54,1972.40,1582614582599
2.52,1972.00,1582614584601
2.49,1971.30,1582614586565
2.52,1971.90,1582614588603
2.43,1970.25,1582614590602
2.51,1971.85,1582614592603
2.52,1972.00,1582614594577
2.42,1970.05,1582614596601
2.47,1971.00,1582614598572
2.47,1971.10,1582614600600
2.47,1971.05,1582614602578
2.47,1971.10,1582614604604
2.52,1972.00,1582614606603
2.57,1973.00,1582614608614
2.58,1973.20,1582614610566
2.61,1973.75,1582614612599
2.59,1973.30,1582614614601
2.58,1973.20,1582614616601
2.61,1973.75,1582614618585
2.58,1973.20,1582614620602
2.61,1973.70,1582614622598
2.62,1973.80,1582614624601
2.61,1973.75,1582614626575
2.62,1973.80,1582614628559
2.63,1974.00,1582614630573
2.68,1975.00,1582614632558
2.81,1977.55,1582614634598
2.81,1977.55,1582614636601
2.78,1977.00,1582614638601
2.78,1976.90,1582614640572
2.83,1978.00,1582614642596
2.83,1978.00,1582614644598
2.74,1976.20,1582614646575
2.77,1976.70,1582614648601
2.73,1976.00,1582614650602
2.71,1975.65,1582614652563
